Time,Vout
533,0.427
534,0.432
535,0.452
536,0.434
537,0.438
538,0.409
539,0.412
540,0.408
541,0.409
542,0.433
543,0.467
544,0.413
545,0.487
546,0.444
547,0.437
548,0.479
549,0.433
550,0.44
551,0.342
552,0.405
553,0.399
554,0.447
555,0.458
556,0.477
557,0.44
558,0.432
559,0.457
560,0.459
561,0.436
562,0.442
563,0.402
564,0.325
565,0.429
566,0.395
567,0.435
568,0.47
569,0.478
570,0.538
571,0.435
572,0.447
573,0.451
574,0.426
575,0.418
576,0.297
577,0.408
578,0.39
579,0.423
580,0.427
581,0.524
582,0.499
583,0.455
584,0.429
585,0.463
586,0.473
587,0.472
588,0.496
589,0.389
590,0.48
591,0.429
592,0.507
593,0.522
594,0.482
595,0.516
596,0.497
597,0.468
598,0.53
599,0.491
600,0.486
601,0.427
602,0.453
603,0.452
604,0.447
605,0.503
606,0.52
607,0.494
608,0.527
609,0.471
610,0.465
611,0.512
612,0.491
613,0.497
614,0.388
615,0.43
616,0.443
617,0.433
618,0.501
619,0.509
620,0.483
621,0.469
622,0.478
623,0.48
624,0.509
625,0.517
626,0.374
627,0.369
628,0.44
629,0.454
630,0.504
631,0.502
632,0.525
633,0.512
634,0.457
635,0.486
636,0.52
637,0.489
638,0.456
639,0.441
640,0.442
641,0.444
642,0.545
643,0.543
644,0.54
645,0.467
646,0.469
647,0.479
648,0.484
649,0.491
650,0.544
651,0.405
652,0.444
653,0.433
654,0.443
655,0.473
656,0.5
657,0.514
658,0.496
659,0.477
660,0.502
661,0.507
662,0.58
663,0.426
664,0.37
665,0.457
666,0.461
667,0.493
668,0.495
669,0.507
670,0.503
671,0.486
672,0.5
673,0.518
674,0.496
675,0.471
676,0.385
677,0.443
678,0.442
679,0.477
680,0.512
681,0.468
682,0.563
683,0.457
684,0.495
685,0.515
686,0.492
687,0.474
688,0.398
689,0.445
690,0.444
691,0.501
692,0.502
693,0.582
694,0.449
695,0.511
696,0.512
697,0.54
698,0.521
699,0.541
700,0.457
701,0.488
702,0.47
703,0.491
704,0.572
705,0.583
706,0.537
707,0.523
708,0.504
709,0.531
710,0.533
711,0.56
712,0.49
713,0.436
714,0.509
715,0.482
716,0.547
717,0.563
718,0.612
719,0.474
720,0.546
721,0.519
722,0.568
723,0.555
724,0.49
725,0.374
726,0.47
727,0.492
728,0.534
729,0.57
730,0.555
731,0.577
732,0.531
733,0.534
734,0.549
735,0.572
736,0.482
737,0.426
738,0.504
739,0.454
740,0.557
741,0.57
742,0.567
743,0.517
744,0.527
745,0.514
746,0.553
747,0.538
748,0.512
749,0.422
750,0.482
751,0.52
752,0.521
753,0.528
754,0.557
755,0.519
756,0.524
757,0.516
758,0.526
759,0.537
