Time,Vout
1,0.13
2,0.103
3,0.11
4,0.055
5,0.055
6,0.079
7,0.071
8,0.087
9,0.099
10,0.126
11,0.196
12,0.108
13,0.094
14,0.107
15,0.106
16,0.052
17,0.06
18,0.069
19,0.092
20,0.097
21,0.088
22,0.09
23,0.109
24,0.268
25,0.108
26,0.109
27,0.083
28,0.091
29,0.08
30,-0.008
31,0.086
32,0.085
33,0.082
34,0.131
35,0.166
36,0.194
37,0.122
38,0.111
39,0.109
40,0.113
41,0.059
42,0.078
43,0.069
44,0.109
45,0.087
46,0.119
47,0.126
48,0.14
49,0.218
50,0.135
51,0.113
52,0.119
53,0.094
54,0.101
55,0.047
56,0.116
57,0.112
58,0.153
59,0.141
60,0.067
61,0.204
62,0.124
63,0.122
64,0.123
65,0.093
66,0.088
67,0.079
68,0.1
69,0.097
70,0.089
71,0.084
72,0.099
73,0.167
74,0.222
75,0.113
76,0.103
77,0.101
78,0.081
79,0.112
80,0.028
81,0.117
82,0.082
83,0.173
84,0.149
85,0.154
86,0.236
87,0.159
88,0.165
89,0.135
90,0.138
91,0.124
92,0.141
93,0.154
94,0.167
95,0.171
96,0.188
97,0.209
98,0.28
99,0.342
100,0.223
101,0.213
102,0.204
103,0.204
104,0.248
105,0.138
106,0.219
107,0.232
108,0.179
109,0.208
110,0.289
111,0.266
112,0.221
113,0.219
114,0.205
115,0.235
116,0.2
117,0.132
118,0.198
119,0.182
120,0.194
121,0.21
122,0.224
123,0.293
124,0.349
125,0.223
126,0.23
127,0.224
128,0.201
129,0.202
130,0.129
131,0.191
132,0.205
133,0.201
134,0.23
135,0.176
136,0.247
137,0.224
138,0.199
139,0.188
140,0.179
141,0.177
142,0.134
143,0.156
144,0.184
145,0.182
146,0.195
147,0.222
148,0.21
149,0.333
150,0.225
151,0.224
152,0.214
153,0.205
154,0.181
155,0.132
156,0.191
157,0.184
158,0.185
159,0.212
160,0.208
161,0.284
162,0.226
163,0.231
164,0.206
165,0.208
166,0.156
167,0.144
168,0.221
169,0.192
170,0.196
171,0.217
172,0.226
173,0.279
174,0.285
175,0.22
176,0.218
177,0.195
178,0.21
179,0.203
180,0.085
181,0.2
182,0.181
183,0.183
184,0.205
185,0.306
186,0.313
187,0.224
188,0.205
189,0.187
190,0.211
191,0.213
192,0.161
193,0.204
194,0.203
195,0.204
196,0.195
197,0.229
198,0.202
199,0.225
200,0.226
201,0.203
202,0.192
203,0.215
204,0.231
205,0.211
206,0.216
207,0.229
208,0.226
209,0.238
210,0.261
211,0.269
212,0.272
213,0.29
214,0.25
215,0.278
216,0.255
217,0.196
218,0.283
219,0.281
220,0.278
221,0.337
222,0.306
223,0.402
224,0.335
225,0.312
226,0.339
227,0.286
228,0.264
229,0.179
230,0.29
231,0.316
232,0.301
233,0.358
234,0.319
235,0.356
236,0.326
237,0.314
238,0.3
239,0.266
240,0.248
