Time,Raw,Filtered,DC,CurrentPeriod,AvgPeriod,CurrentPeak,AvgPeak,Status
1747707770.147316,0.03707,0.00014517081530649096,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.041905,0.0007179814633588096,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.044322,0.001829695444701618,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.031429,0.003359201064727858,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.029817,0.005114106160631069,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.042711,0.0070162080820657426,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.03707,0.009083421307721969,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.043516,0.011287017223377214,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.038681,0.013578891035866191,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.147316,0.033846,0.015876663136723628,6.800835573448059e-05,nan,nan,nan,nan,0
1747707770.2362514,0.040293,0.01811178713321603,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.041099,0.020294554552975685,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.031429,0.022393312510036043,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.040293,0.024351513181269054,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.03707,0.026181170187338614,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.041099,0.027900593283438264,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.035458,0.02949832107161938,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.033846,0.0309351752983268,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.038681,0.03220005309325133,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.032234,0.03330851270555835,0.0003331833487515101,nan,nan,nan,nan,0
1747707770.2362514,0.052381,0.03431696259994789,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.2362514,0.037875,0.03530224879543166,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.2362514,0.036264,0.03621182646260528,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.2362514,0.037875,0.03698112562079489,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.2362514,0.044322,0.03765335801081096,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.2362514,0.034652,0.03825333165760024,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.3294463,0.039487,0.038752303445082924,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.3294463,0.043516,0.03917530405038347,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.3294463,0.042711,0.03957588422194269,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.3294463,0.042711,0.03996103110738105,0.0007093667247234912,nan,nan,nan,nan,0
1747707770.3294463,0.034652,0.04029260716312671,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.042711,0.04054291151988683,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.036264,0.04072807054245202,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.035458,0.04083410213295038,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.030623,0.040822222915415804,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.042711,0.040718858035620246,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.036264,0.040591581756147944,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.030623,0.04042118142143981,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.032234,0.04015449386345555,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.040293,0.03983405556813508,0.0011143068096421214,nan,nan,0.03971979532330826,0.03971979532330826,1
1747707770.3294463,0.037875,0.03953392943276181,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.041905,0.03928378781034636,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.042711,0.039104353127392674,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.043517,0.039011738246827486,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.03707,0.038976943799409546,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.041099,0.03895918342821077,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.038681,0.03895269636279702,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.03707,0.038946209899915096,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.045128,0.0389492947392466,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3294463,0.038681,0.038991841210359264,0.0015050167876993882,nan,nan,0.03932908534525099,0.039524440334279626,1
1747707770.3657336,0.03304,0.03902548478954493,0.001889832670086055,nan,nan,0.03894426946286432,0.03933105004380786,1
1747707770.3657336,0.036264,0.03899439958849703,0.001889832670086055,nan,nan,0.03894426946286432,0.03933105004380786,1
