Time,Raw Data,Filtered Data,DC Value,Current Period,Average Period,Current Peak Size,Average Peak Size,Status
1000,0.02222222,3.24514702110245e-05,3.24514702110245e-08,0,0,0,0,1
1000,0.02222222,0.000158656311336685,1.91107781547709e-07,0,0,0,0,1
1000,0.02393162,0.000402969177769544,5.94076959317253e-07,0,0,0,0,1
1000,0.02075702,0.00075190339893495,1.3459803582522e-06,0,0,0,0,1
1000,0.02564103,0.00119277899286362,2.53875935111582e-06,0,0,0,0,1
1000,0.02271062,0.0017187044444432,4.25746379555902e-06,0,0,0,0,1
1000,0.02246642,0.00231588370078591,6.57334749634493e-06,0,0,0,0,1
1000,0.02124542,0.00296656228634849,9.53990978269342e-06,0,0,0,0,1
1000,0.02124542,0.0036573925612316,1.3197302343925e-05,0,0,0,0,1
1000,0.02222222,0.0043797616206798,1.75770639646048e-05,0,0,0,0,1
1000,0.02246642,0.0051293438632075,2.27064078278123e-05,0,0,0,0,1
1000,0.02197802,0.00590032641339124,2.86067342412036e-05,0,0,0,0,1
1000,0.02173382,0.00668452959933881,3.52912638405424e-05,0,0,0,0,1
1000,0.02222222,0.00747526963577018,4.27665334763125e-05,0,0,0,0,1
1000,0.02222222,0.00826831023744499,5.10348437137575e-05,0,0,0,0,1
1000,0.02197802,0.00905913380468979,6.00939775184473e-05,0,0,0,0,1
1000,0.02197802,0.00984264077601825,6.99366182944656e-05,0,0,0,0,1
1000,0.02442002,0.0106182331245247,8.05548514189902e-05,0,0,0,0,1
1000,0.02271062,0.0113868483596519,9.19416997786422e-05,0,0,0,0,1
1000,0.02051282,0.0121400943494311,0.000104081794128073,0,0,0,0,1
1000,0.02173382,0.0128680547014121,0.000116949848829485,0,0,0,0,1
1000,0.02295482,0.013571275030804,0.000130521123860289,0,0,0,0,1
1000,0.02295482,0.0142535975908694,0.000144774721451159,0,0,0,0,1
1000,0.01929182,0.0149096675538461,0.000159684389005005,0,0,0,0,1
1000,0.02173382,0.0155312802777146,0.000175215669282719,0,0,0,0,1
1000,0.02222222,0.0161209233622258,0.000191336592644945,0,0,0,0,1
1000,0.02344322,0.0166852889506209,0.000208021881595566,0,0,0,0,1
1000,0.02100122,0.0172244509656452,0.000225246332561211,0,0,0,0,1
1000,0.02051282,0.0177318472040291,0.000242978179765241,0,0,0,0,1
