Time,Raw Data,Filtered Data,DC Value,Current Period,Average Period,Current Peak Size,Average Peak Size,Status
1000,0.05616605,8.20201986320858e-05,8.20201986320858e-08,0,0,0,0,1
1000,0.05225885,0.000395293716421819,4.77313915053905e-07,0,0,0,0,1
1000,0.05592185,0.000989637824450019,1.46695173950392e-06,0,0,0,0,1
1000,0.05714286,0.00183880866133824,3.30576040084216e-06,0,0,0,0,1
1000,0.05714285,0.00291997241377713,6.22573281461928e-06,0,0,0,0,1
1000,0.05714286,0.00420420835645765,1.04299411710769e-05,0,0,0,0,1
1000,0.05616605,0.00566124039257431,1.60911815636512e-05,0,0,0,0,1
1000,0.05543346,0.00726046960733698,2.33516511709882e-05,0,0,0,0,1
1000,0.05616605,0.00897510964245977,3.2326760813448e-05,0,0,0,0,1
1000,0.05763126,0.0107862216757847,4.31129824892327e-05,0,0,0,0,1
1000,0.05641026,0.0126766509465623,5.5789633435795e-05,0,0,0,0,1
1000,0.05641026,0.0146255902571037,7.04152236928987e-05,0,0,0,0,1
1000,0.05811965,0.0166162176335982,8.70314413264969e-05,0,0,0,0,1
1000,0.05811966,0.0186375153231084,0.000105668956649605,0,0,0,0,1
1000,0.05811965,0.0206769484176731,0.000126345905067278,0,0,0,0,1
1000,0.05665446,0.0227185578958913,0.00014906446296317,0,0,0,0,1
1000,0.05689866,0.0247462666945062,0.000173810729657676,0,0,0,0,1
1000,0.05641026,0.0267475521058377,0.000200558281763514,0,0,0,0,1
1000,0.05616605,0.0287120754153482,0.000229270357178862,0,0,0,0,1
1000,0.05592186,0.0306304429005869,0.000259900800079449,0,0,0,0,1
1000,0.05811965,0.0324984406850062,0.000292399240764455,0,0,0,0,1
1000,0.05738706,0.0343154449753085,0.000326714685739763,0,0,0,0,1
1000,0.04688645,0.0360619385223412,0.000362776624262105,0,0,0,0,1
1000,0.05567765,0.0377162317777663,0.000400492856039871,0,0,0,0,1
1000,0.05567765,0.0392886958454148,0.000439781551885286,0,0,0,0,1
1000,0.05665445,0.040793012262282,0.000480574564147568,0,0,0,0,1
1000,0.05714286,0.0422311240906717,0.000522805688238239,0,0,0,0,1
1000,0.05616605,0.0436030171902986,0.000566408705428538,0,0,0,0,1
1000,0.05641026,0.0449058562107623,0.0006113145616393,0,0,0,0,1
1000,0.05714285,0.0461396468883732,0.000657454208527673,0,0,0,0,1
1000,0.05665446,0.0473062241230593,0.000704760432650733,0,0,0,0,1
1000,0.05616605,0.0484047696573036,0.000753165202308036,0,0,0,0,1
1000,0.05567766,0.0494331655984431,0.00080259836790648,0,0,0,0,1
1000,0.05567765,0.0503906396795315,0.000852989007586011,0,0,0,0,1
1000,0.05738706,0.0512808377937458,0.000904269845379757,0,0,0,0,1
1000,0.05641026,0.0521091985949311,0.000956379043974688,0,0,0,0,1
1000,0.05641026,0.0528770275013687,0.00100925607147606,0,0,0,0,1
1000,0.05543345,0.0535833499873402,0.0010628394214634,0,0,0,0,1
1000,0.05763126,0.0542308627332733,0.00111707028419667,0,0,0,0,1
1000,0.06007326,0.0548305244943551,0.00117190080869102,0,0,0,0,1
1000,0.05567766,0.0553877855696021,0.00122728859426063,0,0,0,0,1
1000,0.05494505,0.0558935065665471,0.00128318210082717,0,0,0,0,1
1000,0.05738706,0.0563451590752402,0.00133952725990241,0,0,0,0,1
1000,0.05274725,0.0567450756403692,0.00139627233554278,0,0,0,0,1
1000,0.05567765,0.0570906532557126,0.0014533629887985,0,0,0,0,1
1000,0.06373627,0.0573991368942651,0.00151076212569276,0,0,0,0,1
1000,0.05763125,0.0576915244689205,0.00156845365016168,0,0,0,0,1
1000,0.05152625,0.0579528225582116,0.00162640647271989,0,0,0,0,1
1000,0.05567765,0.0581640897879899,0.00168457056250788,0,0,0,0,1
1000,0.06715507,0.0583493217639769,0.00174291988427186,0,0,0,0,1
1000,0.05641026,0.0585340663332019,0.00180145395060506,0,0,0,0,1
1000,0.04664225,0.0586884102294032,0.00186014236083447,0,0,0,0,1
1000,0.05567765,0.0587836227317764,0.00191892598356624,0,0,0,0,1
1000,0.05641026,0.0588385584473196,0.00197776454201356,0,0,0,0,1
1000,0.05641026,0.0588724648321646,0.00203663700684573,0,0,0,0,1
1000,0.05763126,0.0588902074408343,0.00209552721428656,0,0,0,0,1
1000,0.05641026,0.0588951649078187,0.00215442237919438,0,0,0,0,1
1000,0.05641026,0.058886869275428,0.00221330924846981,0,0,0,0,1
1000,0.05738706,0.0588664056321672,0.00227217565410197,0,0,0,0,1
1000,0.05763126,0.0588383821648976,0.00233101403626687,0,0,0,0,1
1000,0.05592185,0.0588034006737325,0.0023898174369406,0,0,0,0,1
1000,0.05592186,0.0587577610269152,0.00244857519796752,0,0,0,0,1
1000,0.05518925,0.0586992841709075,0.00250727448213843,0,0,0,0,1
1000,0.05738706,0.0586307310322894,0.00256590521317072,0,0,0,0,1
1000,0.05543345,0.0585560575886313,0.00262446127075935,0,0,0,0,1
1000,0.05543346,0.0584738471637086,0.00268293511792306,0,0,0,0,1
1000,0.05958486,0.0583885817982917,0.00274132369972135,0,0,0,0,1
1000,0.05689866,0.0583092827297807,0.00279963298245113,0,0,0,0,1
1000,0.05470085,0.0582307934102057,0.00285786377586133,0,0,0,0,1
1000,0.05616605,0.0581452851493438,0.00291600906101068,0,0,0,0,1
1000,0.05885226,0.0580589878238137,0.00297406804883449,0,0,0,0,1
1000,0.05665445,0.0579792640603197,0.00303204731289481,0,0,0,0,1
1000,0.05299145,0.0578980430785686,0.00308994535597338,0,0,0,0,1
1000,0.05616605,0.0578066848530168,0.0031477520408264,0,0,0,0,1
1000,0.06153846,0.0577185568352711,0.00320547059766167,0,0,0,0,1
1000,0.05689866,0.0576473854071391,0.00326311798306881,0,0,0,0,1
1000,0.05738706,0.0575868112124305,0.00332070479428124,0,0,0,0,1
1000,0.05641026,0.0575292984643788,0.00337823409274562,0,0,0,0,1
1000,0.05518926,0.057470938571953,0.00343570503131757,0,0,0,0,1
1000,0.05689866,0.0574096652226779,0.00349311469654025,0,0,0,0,1
1000,0.05641026,0.057348638874191,0.00355046333541444,0,0,0,0,1
1000,0.05616605,0.0572889032353402,0.00360775223864978,0,0,0,0,1
1000,0.05592186,0.0572288884903265,0.00366498112714011,0,0,0,0,1
1000,0.05689866,0.057169331166256,0.00372215045830636,0,0,0,0,1
1000,0.05714286,0.0571133839551158,0.00377926384226148,0,0,0,0,1
1000,0.05567765,0.0570609941293137,0.00383632483639079,0,0,0,0,1
1000,0.05641026,0.0570092408507142,0.0038933340772415,0,0,0,0,1
1000,0.05714285,0.0569594293342275,0.00395029350657573,0,0,0,0,1
1000,0.05763126,0.0569155691147776,0.00400720907569051,0,0,0,0,1
1000,0.05592185,0.0568772907575376,0.00406408636644805,0,0,0,0,1
1000,0.05567766,0.0568395951394779,0.00412092596158753,0,0,0,0,1
1000,0.05714285,0.0568015713621375,0.00417772753294966,0,0,0,0,1
1000,0.05641026,0.0567663289043786,0.00423449386185404,0,0,0,0,1
1000,0.05543345,0.056732354801733,0.00429122621665578,0,0,0,0,1
1000,0.05518926,0.0566954348583806,0.00434792165151416,0,0,0,0,1
1000,0.05885226,0.056659303914717,0.00440458095542887,0,0,0,0,1
1000,0.05738706,0.0566322921042222,0.00446121324753309,0,0,0,0,1
1000,0.05811966,0.0566157382106455,0.00451782898574374,0,0,0,0,1
1000,0.05567765,0.0566050734272783,0.00457443405917102,0,0,0,0,1
1000,0.05543345,0.0565933219578197,0.00463102738112884,0,0,0,0,1
1000,0.05518925,0.0565760307495604,0.0046876034118784,0,0,0,0,1
1000,0.05665446,0.0565549530160344,0.00474415836489443,0,0,0,0,1
1000,0.05616605,0.0565338194366032,0.00480069218433104,0,0,0,0,1
1000,0.05714286,0.0565148989843978,0.00485720708331543,0,0,0,0,1
1000,0.05738706,0.0565005658016434,0.00491370764911708,0,0,0,0,1
1000,0.05763126,0.0564929176518501,0.00497020056676893,0,0,0,0,1
1000,0.05592185,0.0564898699898479,0.00502669043675877,0,0,0,0,1
1000,0.05518926,0.0564852512260724,0.00508317568798485,0,0,0,0,1
1000,0.05641026,0.0564764006437201,0.00513965208862857,0,0,0,0,1
1000,0.05665446,0.056466667702629,0.0051961187563312,0,0,0,0,1
1000,0.05518925,0.0564565586086687,0.00525257531493986,0,0,0,0,1
